cohort_definition_id,age_group,sex,n,cdm_name
6,"(55,60]",Female,4273,CPRD GOLD
6,"(55,60]",Male,4190,CPRD GOLD
6,"(60,65]",Female,6828,CPRD GOLD
6,"(60,65]",Male,6418,CPRD GOLD
6,"(65,70]",Female,11141,CPRD GOLD
6,"(65,70]",Male,10372,CPRD GOLD
6,"(70,75]",Female,10423,CPRD GOLD
6,"(70,75]",Male,9498,CPRD GOLD
6,"(75,80]",Female,9062,CPRD GOLD
6,"(75,80]",Male,7529,CPRD GOLD
6,"(80,85]",Female,6841,CPRD GOLD
6,"(80,85]",Male,4997,CPRD GOLD
6,"(85,90]",Female,4101,CPRD GOLD
6,"(85,90]",Male,2255,CPRD GOLD
6,"(90,95]",Female,1614,CPRD GOLD
6,"(90,95]",Male,633,CPRD GOLD
6,"(95,100]",Female,422,CPRD GOLD
6,"(95,100]",Male,90,CPRD GOLD
6,"(100,105]",Female,47,CPRD GOLD
6,"(100,105]",Male,NA,CPRD GOLD
7,"(15,20]",Male,NA,CPRD GOLD
7,"(30,35]",Male,NA,CPRD GOLD
7,"(35,40]",Female,NA,CPRD GOLD
7,"(50,55]",Female,NA,CPRD GOLD
7,"(60,65]",Male,NA,CPRD GOLD
7,"(65,70]",Male,NA,CPRD GOLD
7,"(80,85]",Female,NA,CPRD GOLD
7,"(85,90]",Female,NA,CPRD GOLD
8,"(10,15]",Male,NA,CPRD GOLD
8,"(15,20]",Female,105,CPRD GOLD
8,"(15,20]",Male,83,CPRD GOLD
8,"(20,25]",Female,201,CPRD GOLD
8,"(20,25]",Male,191,CPRD GOLD
8,"(25,30]",Female,223,CPRD GOLD
8,"(25,30]",Male,217,CPRD GOLD
8,"(30,35]",Female,242,CPRD GOLD
8,"(30,35]",Male,220,CPRD GOLD
8,"(35,40]",Female,212,CPRD GOLD
8,"(35,40]",Male,220,CPRD GOLD
8,"(40,45]",Female,227,CPRD GOLD
8,"(40,45]",Male,185,CPRD GOLD
8,"(45,50]",Female,255,CPRD GOLD
8,"(45,50]",Male,225,CPRD GOLD
8,"(50,55]",Female,368,CPRD GOLD
8,"(50,55]",Male,349,CPRD GOLD
8,"(55,60]",Female,381,CPRD GOLD
8,"(55,60]",Male,371,CPRD GOLD
8,"(60,65]",Female,339,CPRD GOLD
8,"(60,65]",Male,338,CPRD GOLD
8,"(65,70]",Female,326,CPRD GOLD
8,"(65,70]",Male,241,CPRD GOLD
8,"(70,75]",Female,277,CPRD GOLD
8,"(70,75]",Male,265,CPRD GOLD
8,"(75,80]",Female,414,CPRD GOLD
8,"(75,80]",Male,335,CPRD GOLD
8,"(80,85]",Female,240,CPRD GOLD
8,"(80,85]",Male,241,CPRD GOLD
8,"(85,90]",Female,184,CPRD GOLD
8,"(85,90]",Male,146,CPRD GOLD
8,"(90,95]",Female,76,CPRD GOLD
8,"(90,95]",Male,39,CPRD GOLD
8,"(95,100]",Female,12,CPRD GOLD
8,"(95,100]",Male,NA,CPRD GOLD
8,"(100,105]",Female,NA,CPRD GOLD
9,"[0,5]",Female,21,CPRD GOLD
9,"[0,5]",Male,23,CPRD GOLD
9,"(5,10]",Female,170,CPRD GOLD
9,"(5,10]",Male,159,CPRD GOLD
9,"(10,15]",Female,494,CPRD GOLD
9,"(10,15]",Male,511,CPRD GOLD
9,"(15,20]",Female,771,CPRD GOLD
9,"(15,20]",Male,750,CPRD GOLD
9,"(20,25]",Female,819,CPRD GOLD
9,"(20,25]",Male,691,CPRD GOLD
9,"(25,30]",Female,896,CPRD GOLD
9,"(25,30]",Male,774,CPRD GOLD
9,"(30,35]",Female,978,CPRD GOLD
9,"(30,35]",Male,803,CPRD GOLD
9,"(35,40]",Female,897,CPRD GOLD
9,"(35,40]",Male,705,CPRD GOLD
9,"(40,45]",Female,732,CPRD GOLD
9,"(40,45]",Male,519,CPRD GOLD
9,"(45,50]",Female,776,CPRD GOLD
9,"(45,50]",Male,638,CPRD GOLD
9,"(50,55]",Female,960,CPRD GOLD
9,"(50,55]",Male,694,CPRD GOLD
9,"(55,60]",Female,897,CPRD GOLD
9,"(55,60]",Male,748,CPRD GOLD
9,"(60,65]",Female,862,CPRD GOLD
9,"(60,65]",Male,753,CPRD GOLD
9,"(65,70]",Female,998,CPRD GOLD
9,"(65,70]",Male,840,CPRD GOLD
9,"(70,75]",Female,1021,CPRD GOLD
9,"(70,75]",Male,967,CPRD GOLD
9,"(75,80]",Female,894,CPRD GOLD
9,"(75,80]",Male,754,CPRD GOLD
9,"(80,85]",Female,491,CPRD GOLD
9,"(80,85]",Male,408,CPRD GOLD
9,"(85,90]",Female,361,CPRD GOLD
9,"(85,90]",Male,253,CPRD GOLD
9,"(90,95]",Female,130,CPRD GOLD
9,"(90,95]",Male,76,CPRD GOLD
9,"(95,100]",Female,48,CPRD GOLD
9,"(95,100]",Male,11,CPRD GOLD
9,"(100,105]",Female,12,CPRD GOLD
9,"(105,110]",Female,NA,CPRD GOLD
10,"[0,5]",Female,15495,CPRD GOLD
10,"[0,5]",Male,16526,CPRD GOLD
10,"(5,10]",Female,85,CPRD GOLD
10,"(5,10]",Male,79,CPRD GOLD
10,"(10,15]",Female,89,CPRD GOLD
10,"(10,15]",Male,95,CPRD GOLD
10,"(15,20]",Female,116,CPRD GOLD
10,"(15,20]",Male,25,CPRD GOLD
10,"(20,25]",Female,337,CPRD GOLD
10,"(20,25]",Male,17,CPRD GOLD
10,"(25,30]",Female,629,CPRD GOLD
10,"(25,30]",Male,14,CPRD GOLD
10,"(30,35]",Female,634,CPRD GOLD
10,"(30,35]",Male,10,CPRD GOLD
10,"(35,40]",Female,312,CPRD GOLD
10,"(35,40]",Male,10,CPRD GOLD
10,"(40,45]",Female,67,CPRD GOLD
10,"(40,45]",Male,7,CPRD GOLD
10,"(45,50]",Female,16,CPRD GOLD
10,"(45,50]",Male,11,CPRD GOLD
10,"(50,55]",Female,12,CPRD GOLD
10,"(50,55]",Male,6,CPRD GOLD
10,"(55,60]",Female,7,CPRD GOLD
10,"(55,60]",Male,11,CPRD GOLD
10,"(60,65]",Female,6,CPRD GOLD
10,"(60,65]",Male,6,CPRD GOLD
10,"(65,70]",Female,8,CPRD GOLD
10,"(65,70]",Male,16,CPRD GOLD
10,"(70,75]",Female,7,CPRD GOLD
10,"(70,75]",Male,6,CPRD GOLD
10,"(75,80]",Female,NA,CPRD GOLD
10,"(75,80]",Male,NA,CPRD GOLD
10,"(80,85]",Female,NA,CPRD GOLD
10,"(85,90]",Female,NA,CPRD GOLD
